# Starting up: N=100 dt=1.000000e-05 pad=2.000000e+00 L=1.000000e+00
time	PV	NkT	PV/NkT	Energy
9.500029e+01 1.704719e+01 1.715360e+01 9.937966e-01 0.000000e+00
9.600029e+01 1.780794e+01 1.715165e+01 1.038264e+00 0.000000e+00
9.700029e+01 1.645558e+01 1.715373e+01 9.593001e-01 0.000000e+00
9.800029e+01 1.718443e+01 1.715399e+01 1.001774e+00 0.000000e+00
9.900029e+01 1.576874e+01 1.715482e+01 9.192018e-01 0.000000e+00
1.000003e+02 1.838314e+01 1.715300e+01 1.071716e+00 0.000000e+00
1.010003e+02 1.682204e+01 1.715382e+01 9.806587e-01 0.000000e+00
1.020003e+02 1.708017e+01 1.715458e+01 9.956623e-01 0.000000e+00
1.030003e+02 1.728672e+01 1.715453e+01 1.007706e+00 0.000000e+00
1.040003e+02 1.814917e+01 1.715358e+01 1.058040e+00 0.000000e+00
1.050003e+02 1.526749e+01 1.715588e+01 8.899272e-01 0.000000e+00
1.060003e+02 1.891415e+01 1.715473e+01 1.102562e+00 0.000000e+00
1.070003e+02 1.649573e+01 1.715450e+01 9.615982e-01 0.000000e+00
1.080003e+02 1.696155e+01 1.715430e+01 9.887635e-01 0.000000e+00
1.090003e+02 1.750192e+01 1.715399e+01 1.020282e+00 0.000000e+00
1.100003e+02 1.789222e+01 1.715347e+01 1.043067e+00 0.000000e+00
1.110003e+02 1.583857e+01 1.715389e+01 9.233222e-01 0.000000e+00
1.120003e+02 1.780405e+01 1.715364e+01 1.037916e+00 0.000000e+00
1.130003e+02 1.654852e+01 1.715292e+01 9.647643e-01 0.000000e+00
1.140003e+02 1.621503e+01 1.715379e+01 9.452739e-01 0.000000e+00
1.150003e+02 1.897313e+01 1.715474e+01 1.106000e+00 0.000000e+00
1.160003e+02 1.714483e+01 1.715351e+01 9.994934e-01 0.000000e+00
1.170003e+02 1.804255e+01 1.715330e+01 1.051841e+00 0.000000e+00
1.180003e+02 1.464238e+01 1.715460e+01 8.535540e-01 0.000000e+00
1.190003e+02 1.791047e+01 1.715309e+01 1.044154e+00 0.000000e+00
1.200003e+02 1.753637e+01 1.715354e+01 1.022318e+00 0.000000e+00
1.210003e+02 1.761728e+01 1.715242e+01 1.027101e+00 0.000000e+00
1.220003e+02 1.762355e+01 1.715416e+01 1.027363e+00 0.000000e+00
1.230003e+02 1.584141e+01 1.715391e+01 9.234870e-01 0.000000e+00
1.240003e+02 1.712128e+01 1.715266e+01 9.981706e-01 0.000000e+00
1.250003e+02 1.770935e+01 1.715352e+0
